,Name,Website,Address,Phone Number,Social Page,Social Page,Facilities and Capacity,Price Pdf link
78,Haywood Hall Museum House & Gardens,http://haywoodhall.org/,"211 New Bern Place Raleigh, NC, 27601",9198328357,https://www.facebook.com/haywoodhall,https://www.instagram.com/haywoodhallhouse/,"For more information, please contact us at haywoodhall@bellsouth.net or (919) 832-8357",https://cdn0.weddingwire.com/solic/8/4/7/4/7/1/pricing-50561d5dac806663_2022-haywood-hall-weddings-rate-sheet.pdf
79,The Maxwell,https://themaxwellraleigh.com,"330 Gideon Creek Way Raleigh, NC, 27603",919-213-0059,https://www.facebook.com/themaxwellraleigh/,https://twitter.com/raleigh_maxwell,"Services Offered

At The Maxwell, couples can avail of a number of helpful services to turn their wedding dreams into dazzling realities. Event essentials such as tables, chairs, bars, arches, and more will be provided as well as set-up and clean-up services. On the big day, couples and their loved ones will have 13 hours of access to the property. For the convenience of those celebrating, on-site parking is available.", 
80,The Inn at Elon,https://www.theinnatelon.com/,"605 North O'Kelly Avenue Elon, NC, 27244",3365860329, , ,"The Inn at Elon offers 8,000 square feet of available event space across the property. The stylish patio, the Lutz Colonnade, is complemented by a courtyard with firepits for elegant outdoor gatherings. This space covers 3,300 square feet. The hotel also houses an elegant ballroom that can comfortably accommodate up to 440 guests. Here, 5,200 square feet of space can be customized to suit both ceremonies and banquets, as well as cocktail receptions. The ballroom is decorated throughout with neutral tones to coordinate with every color palette. The hotel's event spaces can also be used for various pre-wedding festivities, including engagement parties, showers, and rehearsal dinners. There are private get-ready spaces available for the couples to use as they finish preparing for the day ahead.", 
81,The Maola at Riverside,https://www.facebook.com/maolaatriverside/,"1400 North Craven Street New Bern, NC, 28562",2526266004, , ,"With various event spaces to choose from, your event will flow seamlessly through the property. The stylish ceremony area features rustic wooden siding, large light-filled windows, and quaint whitewashed pews. You can dance the night away in the reception space, featuring exposed brick walls, magical fairy lights, and an open-plan layout. There is even a gorgeous outdoor green area for some beautiful pictures.", 
82,Islander Hotel & Resort,https://www.islandernc.com/en-us/beach-weddings-nc,"102 Islander Dr Emerald Isle, NC, 28594",2523543464,https://www.facebook.com/islanderncweddings/,http://www.instagram.com/islanderncevents, ,https://cdn0.weddingwire.com/solic/9/6/1/5/2/5/pricing-35f5bde9dd8a06_2020-islander-hotel-resort-pricing-guide-1.pdf
83,Harvest House and Catering,http://www.harvesthouseandcatering.net/,"6282 Old Siler City Road Ramseur, North Carolina, 27316",3368242784, , , , 
84,21c Museum Hotel,https://www.21cmuseumhotels.com/durham,"111 North Corcoran Street Durham, NC, 27701",(919) 956-6700,https://www.facebook.com/21cMuseumHotels,https://twitter.com/21cdurham,"Accommodations
The 125 guest rooms feature high ceilings, large windows, and customized furniture. The rooms have free WiFi, HD televisions, and coffee machines. You and your guests will feel completely refreshed after using the Malin + Goetz bath amenities and luxury bedding. 21c Museum Hotel also offers several other amenities, including:",https://cdn0.weddingwire.com/solic/7/2/9/6/3/9/pricing-3620563d907213_wedding-packet.pdf
85,Malachi Meadows,https://www.malachimeadows.com,"197 Richard Switch Road Currie, NC, 28435",9105406246, , ,"For those seeking to make the most of the sunshine, this site’s garden space provides several settings for intimate ceremonies. Positioned on the well-maintained green grass is a stunning brick fireplace. You and your partner can exchange vows at the foot of the 15-foot tall fireplace as your guests look on in pure joy. The fireplace itself can be adorned with beautiful drapery and other decorations to make the space your own. Additional chairs can also be provided for more sizable ceremonies. other outside event areas include the covered patio. This stone-slab patio offers panoramic views of the botanical gardens and the surrounding meadows. This patio is ideal for quaint ceremonies and memorable cocktail hours. What’s more, this outdoor area can be used in conjunction with indoor celebrations for additional space and change of setting. Indoor event spaces include the splendid ballroom. This room is complete with a charming split-staircase, high-ceilings, large windows, and a neutral color scheme. The split-staircase allows you and your partner to make a dramatic reception entrance while large windows allow natural light to illuminate every corner. The ballroom’s neutral color scheme enables you to decorate the space to your exact liking accompanied with the colors you desire. Double French doors in this room lead out into the covered patio for your convenience. Further facilities include a bar area, an array of lighting options, an outdoor fountain, on-site parking, and more.", 
86,Skyline Lodge,https://skyline-lodge.com/weddings/,"470 Skyline Lodge Rd. Highlands, NC, 28741",(828) 526-4008,https://www.facebook.com/skylinelodgeNC/,https://www.instagram.com/skylinelodgehighlands,"A one-stop destination for all wedding-related festivities, Skyline Lodge offers venues, menus, event capabilities, and bookable experiences made perfect for mountaintop engagements, adventurous bachelor(ette) getaways, intimate rehearsal dinners, scenic wedding ceremonies and receptions, and everything in between. No matter the occasion, Skyline Lodge provides curated culinary & beverage packages featuring local cuisine and cocktail offerings by on-site signature restaurant Oak Steakhouse Highlands, and intimate event space, Butler’s.", 
87,The Country Club at Wakefield Plantation,http://www.tpcwakefieldplantation.com/raleighweddings,"2201 Wakefield Plantation Drive Raleigh, NC, 27614",919-488-5100, , ,"This 38,000-square-foot clubhouse can accommodate groups as small as five or as large as 160 in a variety of event spaces. The main ballroom has a capacity for 200 guests and features an attached terrace that overlooks the golf course and 18th hole. Floor-to-ceiling windows incorporate views of the surrounding grounds into the festivities. Alternatively, couples can choose between two smaller function rooms to hold their reception, seating 65 and 150 guests respectively. For more intimate affairs such as the rehearsal dinner, the Oak Room accommodates up to 25 loved ones, and the Wakefield Room seats 10. With six different event sites to work with, couples can set up their celebrations in a way that best reflects their vision.",https://cdn0.weddingwire.com/solic/2/7/5/0/3/1/pricing-5025c3f56f961c20_wp-wedding-information.pdf
88,The Kimpton Cardinal Hotel,http://www.thecardinalhotel.com/,"51 East 4th Street Winston Salem, NC, 27101",3367241009,https://www.facebook.com/kimptoncardinalhotel/,https://www.instagram.com/thecardinalws/,"History
Once the architectural muse for the Empire State Building, the historic R.J. Reynolds building is now home to The Kimpton Cardinal Hotel. Built in 1929, it remains an endearing icon in the Winston-Salem skyline as it still grandly represents the timeless traditions of the South. This historic landmark welcomes you with modern flair. They offer a glamourous ambience of Art Deco flourishes, metallic finishes, and cardinal red details in unexpected places.",https://cdn0.weddingwire.com/solic/0/7/0/4/2/9/pricing-1491918257-bd7bb900357e9e55-The_Cardinal_Hotel_Wedding_Menu_March_2017.pdf
89,Pinehill Pavilion,https://www.pinehillpavilion.com/,"375 Moores Pond Rd. Youngsville, NC, 27596",9197463331,https://www.facebook.com/pinehillpavilion,https://www.instagram.com/pinehillpavilion,"Services Offered
Rental of Pinehill Pavilion comes with 10 hours of access to the property and comprehensive services to make couples’ big days as stress-free as possible. The venue comes with a day-of coordinator who will assist with preparations, coordinate with vendors, and assist with running the ceremony and reception. The staff also provide tables and chairs for 200 guests, hi-top cocktail tables and seating for a cocktail hour, and a grazing tray. The venue also provides access to the bar and bartending staff, as well as cocktails and other beverages. They can recommend vendors for food, additional bar services, full event planning, and decorations. Venue staff, including parking attendants and setup and breakdown crews, are provided. This family-owned business is excited to share their space with couples looking for a romantic escape in which to wed. They are happy to work with soon-to-be-newlyweds every step of the way to ensure a fun-filled and unforgettable day.", 
90,NC State University Club,http://www.ncsuclub.com,"4200 Hillsborough St Raleigh, NC, 27606",9198280308,https://www.facebook.com/NCSUClub, ,Facilities and Capacity, 
91,History Museum of Carteret County,https://www.carterethistory.org/,"28557 Morehead City, North Carolina Morehead City, NC, 28557",2522477533, , ,"The spacious event facility at the History Museum of Carteret County spans over 600 square feet and can easily be adapted to suit your requirements. The neutral interiors create a blank slate canvas for your wedding decor and chosen color scheme, while the dark wooden floors add contrast. While celebrating at the museum, you may also visit its many exhibits or stop at the local library throughout the day.", 
92,The Benjamin W. Best Country Inn and Carriage House- The Barn at Nooherooka,https://www.bwbestinn.com/?,"2029 MEWBORN CHURCH ROAD Snow Hill, NC, 28580",(252) 747-5054,https://www.facebook.com/TheBarnNooherooka/,https://twitter.com/nooherooka,"The Benjamin W. Best Country Inn and Carriage House- The Barn at Nooherooka features a large indoor space, as well as covered and uncovered outdoor areas with scenic views. The Barn can host up to 400 guests, or can be divided into two separate rooms for smaller gatherings or prep space. They can accommodate wedding ceremonies and receptions, as well as rehearsal dinners, showers, engagement parties, and other special occasions. There are get-ready rooms for the wedding party to prepare in before your event. The Barn also features an adjoining temperature-controlled restroom facility.", 
93,Sheraton Chapel Hill Hotel,http://www.sheratonchapelhill.com/,"One Europa Drive Chapel Hill, NC, 27517",919.968.4900,https://www.facebook.com/Sheraton-Chapel-Hill-Hotel-165443833499931/,https://instagram.com/sheratonchapelhill,"Our recently added Getting Ready suite is the perfect place to gather family and wedding party as you prepare for your day. We also have additional space available to gather friends and relax before you say, “I do”.", 
94,The Boma Lodge,https://www.thebomalodge.com/,"2741 NC Highway 704 Madison, NC, 27025",3362106703,https://www.facebook.com/thebomalodge/,https://www.instagram.com/thebomalodge/, , 
95,Slate & Cypress,http://www.slateandcypress.com,"802 Hickman Rd NW Calabash, NC, 28467",910-363-6402,https://www.facebook.com/slateandcypress,https://www.youtube.com/channel/UCl2UiGZVKljycdS3BIuepDQ,"The team at Slate and Cypress is proud to welcome weddings of up to 294 guests with 275 indoor seated guests. You are invited to begin your day in the property’s get-ready room, preparing for your event in luxury and comfort. The suite is fully equipped with a beauty bar and large mirrors, providing an efficient hair and makeup station. The spacious winery-inspired Venue Hall features exposed beams and ornate chandeliers, offering versatility for any decor design couples may envision. A number of outdoor event spaces are available for a celebration amidst the property’s natural beauty, to include the renovated 100+ years Old Heritage Tobacco House Bar & Dining Patio, the Curated Tuscan Courtyard Garden, and small fruit orchard with Orchard Fountain. The grounds are home to a variety of flora such as roses and fragrant jasmine, and a forest of pine, cedar, and cypress trees. The estate’s pond, illuminated water fountain, and charming fruit orchard offer striking photo opportunities to capture magical moments throughout your day.", 
96,The Isles Beach Club/Oceanfront Weddings of NC,http://www.oceanfrontweddingsnc.com,"417 West 2nd Street Ocean Isle Beach, NC, 28469",9105755988, , , ,https://cdn0.weddingwire.com/solic/5/5/2/3/7/0/pricing-35e1f4e959015e_pricing-and-other-information-for-ofw-on-weddingwire.pdf
97,Gaston Country Club,http://www.gastoncc.com,"3700 Country Club Dr. Gastonia, NC, 28056",704-864-3283,https://www.facebook.com/gastoncc1919,https://www.instagram.com/gastoncc1919,"With elegant decorations and beautiful surroundings that are perfect for photo opportunities, Gaston Country Club can accommodate up to 300 guests at each wedding event. The venue offers a selection of indoor and outdoor event spaces for couples to choose from. Ceremonies can be held on the exquisite grounds, complete with the expansive scenery of the golf course. Receptions can then take place within the comfortable confines of the clubhouse ballroom. Featuring floor-to-ceiling windows, warm lighting, and a spacious dance floor, this elegant space can be fully customized to fit couples' specific needs and desires.", 
98,Fearrington Village,http://www.fearrington.com/wedding/?,"2000 Fearrington Village Center Pittsboro, NC, 27312",9195424000,https://www.facebook.com/TheFearringtonBarn,https://www.pinterest.com/fearrington/,"Couples can host up to 500 friends and family members. Fearrington Village offers multiple ceremony and reception locations for couples to choose from. This venue has five garden ceremony locations where couples can exchange their vows. These spaces include Jenny’s Garden, Willow Oaks, Pecan Trees, Crabapples and Dovecote Lawn. Many of these spaces include lush trees under which couples can begin their lives together. There are also wedding arches and arbors to beautifully frame couples in the gardens as they exchange vows. For couples who have their hearts set on an indoor ceremony, or experience inclement weather on their big day, the Garden Terrace feels bright and open. These couples can wed with a stunning floor-to-ceiling fireplace of tan stone as their backdrop. Receptions can take place in the 1927 barn, an open-air terrace, a former granary, or the Fearrington House Restaurant.", 
99,Pandora's Manor,https://www.pandorasmanor.com/,"407 West High Ave High Point, NC, 27260",3368864253,https://www.facebook.com/pandorasmanorbnb/,https://www.instagram.com/pandorasmanor/,"Pandora’s Manor features Victorian architecture blended with contemporary and classic interior design. The stately white mansion boasts columns and a stone fountain that serve as beautiful settings for wedding photos. Couples can choose to exchange vows inside one of the historic home’s interior function rooms or outside. The lawn can accommodate celebrations of up to 150 guests, and a tent is available to use for shade and shelter. Inside, the lounge and parlor rooms offer intimate spaces for cocktail hour or smaller gatherings.",https://cdn0.weddingwire.com/solic/1/1/1/9/9/0/pricing-15f8617fd537fe_pandora-s-manor-wedding-package-2-1.pdf
100,Timberlake Earth Sanctuary,http://www.timberlakeearthsanctuary.com/weddings/,"1501 Rock Creek Dairy Rd Whitsett, NC, 27377",3364460377,https://www.facebook.com/TimberlakeEarthSanctuary,https://www.instagram.com/timberlakeearthsanctuary/,"Leave behind the hustle bustle of everyday living and enter the sanctuary of the wild. This moment in your life only happens once, and we care deeply that you feel present, at ease, and well taken care of.", 
101,Sea Ranch Resort,https://searanchresort.com/obx-weddings/,"1731 N. VA Dare Trail PO Box 325, PO Box 325 Kill Devil Hills, NC, 27948",252-441-7126,https://www.facebook.com/searanchresort/,https://www.instagram.com/searanchresort/,"Cuisine
Sea Ranch Resort offers a variety of cuisine styles, specializing in American and Southern menus that feature fresh local seafood. The venue also accomodates dietary requirements, including gluten-free, lactose-free, nut-free, no pork, organic, vegan, and vegetarian. The venue offers buffet, cocktail reception, dessert, and hors d'oeuvres styles of catering in addition to custom bartending services.", 
102,Blue Rock Farm,http://www.bluerockfarm.com,"1103 Footprint Springs Road Hurdle Mills, NC, 27541",9196940003, , , , 
103,The Lodge on Brier Creek,https://www.lodgeonbriercreek.com/,"7348 Old 60 Roaring River, NC, 28669",,https://www.facebook.com/thelodgeonbriercreek,https://www.instagram.com/lodgeonbriercreek,"At The Lodge on Brier Creek, to-be-weds can invite up to 300 guests with whom to celebrate their big day Couples will find several contemporary indoor and scenic outdoor locations for their wedding festivities. There is plenty of space on the venue’s grounds for a ceremony in the arms of Mother Nature. Vows can be exchanged on a large hill overlooking the verdant fields below, or amongst the trees in an intimate and bucolic setting. For shelter from the elements, along with a breathtaking view of the Appalachian Mountains, the ranch’s Pavilion is an ideal space. It is a charming construction with an open-plan design that features rustic wooden beams and Victorian-style wrought iron railings. Inside the rustic yet modern event hall, couples will find the Grand Room. This salon has a tall ceiling supported by rugged rafters, and ample space bathed a natural light. Guests will enjoy the views it offers out over the property from the comfort of their table. Adjoining this spacious event hall are the Bridal Suite and The Kitchen. The Bridal Suite is a luxuriously elegant space for members of the wedding party to get ready before the ceremony or reception. Here, couples will find oak floors, delicate chandeliers, coffered ceilings, and Victorian-style furniture in a delicate color scheme of cream and gold. The Kitchen is the perfect staging area for caterers and has its own private entrance with access to the Main Hall. Just steps from the main facility, the Groom’s Quarters offers a peaceful setting away from the festivities in a charming barn space.", 
104,Transfer Co. Food Hall & Gathering Place,https://www.transfercofoodhall.com/,"500 East Davie Street Raleigh, NC, 27601",984.232.8122,https://www.instagram.com/transfercofoodhall/, ,"Transfer Co. Food Hall offers an impressive selection of indoor and outdoor event spaces for couples to choose from to celebrate their special day. The large ballroom is located within a newly-renovated warehouse. Accommodating up to 250 guests for a cocktail style reception, it features charming exposed brick walls and reclaimed beam ceilings that radiate a feeling of historic industrial charm. We recommend a maximum of 140 guests for a traditional seated reception.",https://cdn0.weddingwire.com/solic/9/5/6/7/6/0/pricing-5095ce68f661a9c0_special-events-price-guide-2.pdf
105,Trump National Golf Club Charlotte,http://www.trumpnationalcharlotte.com/,"120 Trump Square Mooresville, NC, 28117",7047997300,https://www.facebook.com/TNGCEvents/,https://twitter.com/Trump_Charlotte, , 
106,The Clubs at St. James,http://www.theclubsatstjames.com,"3779 Members Club Blvd Southport, NC, 28461",9104778500, , ,"Couples who choose to hold their celebrations at The Clubs can host up to 156 guests. Both small and large gatherings are possible, allowing for intimate ceremonies with loved ones or bigger festivities. You and your partner can set up an open-air ceremony on the carefully manicured lawn, featuring views of natural green surroundings. After the service, you can then lead guests to a personalized reception in the on-site ballroom. The space offers a range of options for customization, allowing you and your partner to create an event that truly reflects your personalities. In addition to the golf course and ballroom, there is a range of alternative venue sites available throughout the grounds. These include the beach, an amphitheater, or a chapel. Furthermore, the venue has three clubhouses, several distinct private dining rooms, a marina restaurant, and a market. Get-ready rooms can also be arranged for the wedding party to prepare for the big day.", 
107,Vista Creek,https://vistacreekobx.com,"1789 NC HWY 345 Manteo, NC, 27981",7578180392,https://www.facebook.com/vistacreekobx/,http://vistacreekobx/, , 
108,Hope Valley Country Club,http://www.hvcc.org,"3803 Dover Road Durham, NC, 27707",9194896565,https://www.pinterest.com/hopevalleycount/, ,Services Offered, 
109,Kyle's Farm,https://www.kylesfarmnc.com/,"380 Ward Rd Harrells, 28444",9105322061,https://www.facebook.com/kylesfarmnc,https://www.instagram.com/kylesfarm/,"Kyle’s Farm has three event spaces with a maximum capacity of 300 wedding guests. Perfect for outdoor weddings, Kyle’s Farm has a beautiful landscape with old barns to provide the perfect backdrop for country-themed photos. Their newest space is their bridal parlor, which has been renovated from an old dairy barn while the main reception building on Kyle’s Farm is a former gymnasium. While they have kept the gym’s original character, Kyle’s Farm has made the necessary improvements to make it the ideal place to exchange “I do’s,” including a food prep area.", 
110,Ardenwood Farm,http://www.ardenwoodfarm.com,"1946 White Cross Road Chapel Hill, NC, 27516",9195232237, , ,"This working horse farm and private property offers a variety of covered and outdoor event spaces for weddings and receptions. Wedding ceremonies can be held in the the courtyard of the horse barn, under the old oak tree, or in the covered arena. Receptions can be held in the large covered wedding pavilion arena with an outdoor patio and pergola with the backdrop of a 47 acre horse farm with rolling pasture land and forests. The beautiful main horse barn provides the perfect location for intimate wedding events such as bridal showers and rehearsal dinners, as well as a groom’s lounge and bridal suite perfect for day of preparations.

Services Offered
Ardenwood Farm is run by a professional staff of event specialists who will go above and beyond to ensure that your big day is everything you’ve dreamed it to be. From the suite of wedding packages to their diverse range of event decor, Ardenwood Farm is the perfect place to celebrate one of the most important days of your life.",https://cdn0.weddingwire.com/solic/7/3/0/7/3/0/pricing-50160b1051f1ebd3_ardenwood-wedding-packages.pdf
111,The Distillery NC,http://thedistillerync.chadbiggs.com/welcome,"101 Rand Mill Road Garner, NC, 27529",919-391-8350,https://www.facebook.com/thedistillerync/,https://www.instagram.com/the_distillery_nc/?hl=en,"An event at The Distillery NC begins in luxury. The property features a lounge in the Modern Cottage spanning 700 square feet that includes comfortable seating for you and your wedding party. It is private, ideal for letting you and your entourage laugh, get ready, and sip the complimentary champagne in seclusion. From here, you and your nearest and dearest can move to either the White Room or the patio area. The White Room can accommodate up to 284 loved ones and offers indoor space for both ceremonies and receptions. It boasts gold-toned accents, concrete flooring, and wood elements that create an industrial-chic ambience. Outside on the 800-square-foot patio, smaller fetes can be held al fresco. Complemented by the exquisite gardens, which can serve as backdrops for photographs, it adds to the luxury and sense of refinement found throughout the venue.",https://cdn0.weddingwire.com/solic/5/0/9/9/7/9/pricing-5105fb8522447373_distillery-information-sheet.pdf
112,The Loft at Congdon Yards,http://www.congdonyards.com/celebrate/,"400 W English Road High Point, NC, 27262",336 880 6115,https://www.facebook.com/TheLoftCongdonYards,https://www.pinterest.com/TheLoftCongdonYards/,Facilities & Capacity, 
113,The Royal Banquet & Conference Center,http://www.theroyalbanquet.com,"3801 Hillsborough Street Suite 109, Suite 109 Raleigh, North Carolina, 27607",9196210540,http://www.facebook.com/128310927272,http://twitter.com/RoyalBanquet, ,https://cdn0.weddingwire.com/solic/6/1/6/1/4/0/pricing-510619bf3589a90c_revised-planning-guide-11-2021.pdf
114,Whalehead in Historic Corolla Park,http://www.whaleheadwedding.com/,"1100 Club Road Corolla, NC, 27927",252-453-9040,https://www.facebook.com/historicwhalehead/,https://www.instagram.com/whaleheadwedding/,"Services Offered
Couples who rent Whalehead in Historic Corolla Park will have access to their wedding site from 10am to 11pm on the big day. Rehearsal times are also available the day before, as long as the venue is not previously booked. The staff provides a list of preferred vendors, and tents are recommended to accommodate the reception dinners and dancing. There are ample power supplies on the North and South Lawns for DJs, bands, rental companies, and caterers to use as they please.",https://cdn0.weddingwire.com/solic/7/1/8/9/4/0/pricing-1035c40a26774897_2018-3-hcp-pricing-guide.pdf
115,Roanoke Island Festival Park,https://www.roanokeisland.com/rent-park/weddings-park,"1 Festival Park Manteo, NC, 27954",2524751500,https://www.facebook.com/roanokeisland,https://twitter.com/RIFestivalPark,"The Event Room is a 2230sqft space featuring a grand piano is ideal for receptions and rehearsal dinners.

Services Offered
Roanoke Island Festival Park offers events spaces for wedding ceremonies, receptions, and also provides services such as:",https://cdn0.weddingwire.com/solic/5/4/4/1/8/6/pricing-1035d40718e83ab0_wedding-info-packet.pdf
116,The Abbey Salisbury,http://www.theabbeysalisbury.com,"128 North Fulton Street Salisbury, NC, 28144",,https://www.facebook.com/theabbeysalisbury/,https://www.pinterest.com/thelodgeweddings/the-abbey-historic-church-wedding-venue/,"Services Offered
The team at The Abbey Salisbury are proud to offer bespoke design services for discerning newlyweds. Following a two-hour consultation, these event specialists will create custom aisle and altar décor, a cards and gifts station, bar and table decorations, and more. Rental of the facility also comes with a variety of tables and chairs. These include pub-height cocktail tables, dark-stained wooden reception and food service tables, appetizer tables, and acrylic ghost chairs. Dessert and drinks bars, drinking goblets, beverage dispensers, and a cooler are also available. In addition, couples will have the support of an event coordinator, a setup and breakdown crew, a parking team, and a ceremony sound technician.",https://cdn0.weddingwire.com/solic/7/1/6/9/4/9/pricing-504618034492cd6f_the-abbey-salisbury.pdf
117,Ocean's Edge Restaurant & Event Center,http://www.oceansedgenc.com/weddings--events.html,"2000 New River Inlet Rd #2701, #2701 Sneads Ferry, NC, 28460",910-226-2621,http://www.facebook.com/234409516763209,http://www.instagram.com/oceansedgenc, ,https://cdn0.weddingwire.com/solic/8/1/3/1/0/8/pricing-45c8c06eec62a6_oceans-edge-info-2018-small.pdf
118,The English Country Barn of the Carolinas,https://theenglishcountrybarn.com/index.htm,"147 Sanderson Rd Magnolia, NC, 28453",9136266202,https://www.facebook.com/englishcountrybarn,https://www.instagram.com/englishcountrybarn/,"The English Country Barn of the Carolinas features a number of customized spaces where you can hold your wedding events. Inside the barn, the Westminster Room boasts 20-foot ceilings crisscrossed by exposed wood beams, from which glitter beautiful chandeliers. This banquet hall has a mezzanine loft with extra seating and can accommodate as many as 200 for your reception dinner and dancing. The Lancaster Room has been designed specifically for indoor ceremonies and comes with a backdrop made from sliding barn doors. Two get-ready suites are also housed in the barn. The Windsor Room is outfitted with full-length mirrors, vanities, seating, a private bathroom, and a coffee bar, and adjoins a grand staircase. The York Room is equipped with large TVs and lockers for changing clothes and is a great place to relax with your wedding party. Outside, you can host your cocktail hour on the covered patio, while the 300-acre property offers three additional ceremony locations.",https://cdn0.weddingwire.com/solic/3/0/5/1/4/0/pricing-5016127e1dd824fc_pricelist-2021-2022.pdf
119,North Carolina Museum of Art,http://ncartmuseum.org/book_an_event#weddings,"2110 Blue Ridge Road Raleigh, North Carolina, 27607",9196646895,https://www.pinterest.com/ncartmuseum/matrimony-at-the-museum/, , ,https://cdn0.weddingwire.com/solic/7/5/0/9/2/6/pricing-1501772968-3feb768fb529a309-1423236020-2971f71f9ee27ec2-100_person_Wedding_Cer___Rec_Outline.pdf
120,The Grove at City Market,https://www.historicmarkethall.com/thegrove,"214 E. MARTIN STREET Raleigh, NC, 27601",919-616-5537, , ,"The Grove at City Market offers couples a selection of indoor and outdoor spaces where they can say ""I do."" You can choose between a setting with a park view, or marry overlooking the bustling market scene. During the warmer months, couples can continue to have their cocktail hour and reception in the open air or head inside for the colder months. This beautiful establishment features rich earthy tones, eclectic lighting, large windows, and plenty of room for a dance floor and seated meal. You'll also find amenities for live music and vibrant lighting, meaning you can create the celebration of your dreams. A total of 400 guests can join you for a grand soiree in two indoor rooms or on the outdoor patio.", 
121,Shell Island Resort,http://www.shellisland.com,"2700 North Lumina Avenue Wrightsville Beach, NC, 28480",9102568696, , ,"Shell Island Resort offers a total of four indoor and outdoor event spaces, ideal for hosting the whole wedding. The Oceanfront Ballroom is most widely chosen by couples for their special day as it easily accommodates up to 250 guests. A charming seaside interior design lends a casually elegant ambiance to the property. Guests will hardly notice leaving the sunny beach for this stunning ballroom as floor-to-ceiling windows invite views of the beach inside from all directions. Couples can explore the other available event spaces to host their ceremony and reception for more intimate affairs.", 
122,Pinehurst Resort,http://www.pinehurst.com/weddings/,"80 Carolina Vista Drive Pinehurst, NC, 28374",8006594653,https://www.facebook.com/PinehurstResort,https://twitter.com/PinehurstResort,"Pinehurst Resort has over 2,000 acres of space that can be custom-fitted for your special day, offering distinctive indoor and outdoor spaces that can be separated for smaller events. The Carolina Hotel has sweeping verandas and an elegantly renovated West Lawn, while the first tee lets you hold an outdoor ceremony on one of the famed golf courses. The Holly Inn Courtyard offers a more formal outdoor space, and The Donald Ross Grill Veranda is an unforgettable outdoor reception option, accommodating 100 to 200 guests based on your wedding style. There is 55,000 square feet of indoor options as well, from the grand Cardinal Ballroom to the charming Evergreen Music Room with stunning architecture and custom fixtures. Carolina Hall offers 14,000 square feet of meeting space for large weddings of 400-600 people, and the Outlook Ballroom offers stunning views of the golf course.",https://cdn0.weddingwire.com/solic/2/8/2/6/3/9/pricing-35f772e6a4b618_2021-2022-wedding-packages-50-guests.pdf
123,K2 Suites,https://www.kreashenzsalonandspa.com/k2-suites,"3147 Wrightsville Ave Wilmington, NC, 28403",910-769-5000,https://www.facebook.com/k2suitesevents,https://www.instagram.com/k2suites/, , 
124,"Bay 7, American Tobacco District",http://www.bay7.events,"324 Blackwell St. #700 Durham, NC, 27701",,https://www.pinterest.com/bay7durham,https://www.instagram.com/bay7durham,"Located in the heart of downtown Durham, the 10,000-square-foot building is the perfect blank canvas for weddings of many sizes and styles. With an open floor plan and wrap-around interior balcony, there is plenty of room to customize the space to suit your needs. It can easily accommodate weddings of up to 400 guests for either the ceremony, reception, or both. You can make the space your own by hanging drapery from the ceilings, adding string lights to the balcony, and creating tall floral arrangements. There are also get-ready rooms available for the wedding party and plenty of parking for guests.", 
125,Atkinson Farms,http://www.atkinsonfarms.com/index.html,"777 Atkinson Road Danville, 24540",4344892653,https://www.facebook.com/Atkinson-Farms-1789655701319757/, , , 
126,Tessentee Farm and Wedding Event Center,http://www.tfwec.com,"2887 Tessentee Road Franklin, NC, 28734",8284216876,https://www.facebook.com/tfwec/?ref=page_internal,https://www.instagram.com/explore/locations/148855671/tessentee-farms-weddings-event-center?hl=en,"Tessentee Farm and Wedding Event Center hosts a number of wedding events, including ceremonies, receptions, and rehearsal dinners. Couples have access to multiple event spaces that can accommodate guest lists of various sizes with a maximum site capacity of 500 guests. The barn can host around 150 people and provides a particularly charming setting for receptions, with expansive space for dancing, dining, and entertaining. The building’s interior creates a romantic ambiance with glowing string lights, wood-paneled walls, and beamed ceilings. It is surrounded by a large, open field that is perfect for wedding ceremonies and provides additional outdoor reception space. Just adjacent to the barn are easily accessible guest cabins, providing accommodation for wedding parties and guests. Additional event space can be found in a 14,000 square-foot house situated on top of a rolling green hill. The house is enveloped by panoramic views of the entire farm, with a backdrop of the North Carolina mountains. Get-ready suites available for use, allow wedding parties and guests to prepare for the big day, while pet-friendly areas ensure that all special guests can attend the celebrations.", 
127,Fussell Estate,https://www.fussellestate.com,"480 Vannoy Road Millers Creek, NC, 28651",828-434-8232,https://www.facebook.com/pg/fussellfarmvenue/about/?ref=page_internal,https://www.instagram.com/fussellfarm/,Fussell Farm, 
128,Firethorne Country Club,http://www.clubcorp.com/Clubs/Firethorne-Country-Club/Host-An-Event/Weddings,"1108 Firethorne Club Dr Waxhaw, NC, 28173",7042432433, , , , 
