Unnamed: 0,Name,City,Address,Phone Number,Venue Type,Capacity,Amenities
738,Rabbit Hole Distilling,Louisville,Phoenix Hill,"711 East Jefferson 
Louisville, KY 40202, US",,Seated: 120, 
739,Aioli Gourmet Burgers,Phoenix,Paradise Valley,"10652 N 32nd Street 
Phoenix, AZ 85028, US","Restaurant, Food Truck, Catering", ,Handicap Accessible
740,Sequoia at the Cannery,Sacramento,East Sacramento,"1601  Alhambra Boulevard 
Suite 200
Sacramento, CA 95816, US",, , 
741,Heartland Event Center & Fonner Park Campus,Grand Island,,"700 East Stolley Park Road 
Grand Island, NE 68801, US","Event Space, Banquet Hall, Other, Meeting Space, Conference Center, Entertainment, Unique", , 
742,Canoe,Atlanta,In-House Catering,"4199 Paces Ferry Rd SE, Atlanta, GA 30339, USA 
Atlanta, GA , US",,Seated: 100,A/V Equipment
743,Scorpion Bar Seaport,Boston,,"58 Seaport Boulevard 
Boston, MA 02210, US",Restaurant, , 
744,RollHouse - Columbus,Columbus,"Greater Hilltop, Hilltop 2","500 Georgesville Rd 
Columbus, OH 43228, US",Bowling, , 
745,Dos Hermanos Catering,Columbus,"North Central, Devon Triangle","1700 Old Leonard Avenue 
Columbus, OH 43219, US","Food Truck, Catering, Unique", , 
746,5Church - Charleston,Charleston,In-House Catering,"32 N Market St 
Charleston, SC 29401, US",Restaurant, ,Flexible Floor Plan
747,Adaline Acres,Chester,,"11700 Hogans Alley 
Chester, VA 23836, US","Event Space, Golf Course", ,Ceremony Site
748,Strikers Family Sports Center,Sunrise,In-House Catering,"8500 NW 44th St 
Sunrise, FL 33351, US",,Seated: 30,WiFi
749,RollHouse - Parma,PARMA,,"12859 Brookpark Rd 
PARMA, OH 44130, US",Bowling, , 
750,"Holiday Inn Hotel & Suites, Sioux Falls Airport",,,"2040 West Russell Street 
,  57104, ","Restaurant, Event Space, Other, Hotel, Wedding Venue, Catering, Golf Course",Standing: 300, 
751,Louvino Cincinnati OTR,Cincinnati,Over-The-Rhine,"1142 MAIN ST 
Cincinnati, OH 45202, US","Restaurant, Event Space", ,A/V Equipment
752,Factory Berlin Mitte,,,"Rheinsberger Str.  
,  10115, ",Event Space, , 
753,Savory Catering,Dallas,"Oak Lawn, Uptown","5855 Maple Avenue 
5855 Maple Ave
Dallas, TX 75235, US",, , 
754,Foundry Art Centre,"St Charles, St. Charles",,"520 N. Main Center 
St. Charles, MO 63301, US","Event Space, Gallery, Wedding Venue, Unique", ,A/V Equipment
755,Chicago Botanic Garden,Glencoe,In-House Catering,"1000  Lake Cook Road 
Glencoe, IL 60022, US",,Seated: 300, 
756,Parlor OKC,Oklahoma City,Flatiron District,"11 NE 6th St 
Oklahoma City, OK 73104, US","Restaurant, Event Space, Other, Cocktail Lounge, Unique", , 
757,"Holiday Inn Hotel & Suites, Sioux Falls Airport",,,"2040 West Russell Street 
,  57104, ","Restaurant, Event Space, Other, Hotel, Wedding Venue, Catering, Golf Course",Standing: 300, 
758,Canaletto - Newport Beach,Newport Beach,In-House Catering,"Fashion Island 
545 Newport Center Drive
Newport Beach, CA 92660, US",,Seated: 400, 
759,Canaletto - Newport Beach,Newport Beach,In-House Catering,"Fashion Island 
545 Newport Center Drive
Newport Beach, CA 92660, US",,Seated: 400, 
760,Due South (Larrupin LLC),Washington,Capitol Hill,"301 Water St SE, Washington, DC 20003 
Washington, DC 20003, US",,Seated: 30, 
761,Canon,Sacramento,East Sacramento,"1719  34th Street 
Sacramento, CA 95816, US",,Seated: 115,A/V Equipment
762,Barcelona Cathedral Heights,Washington,Cleveland Park,"3310 Wisconsin Ave. NW 
Washington, DC 20016, US",, ,Outdoor Space
763,Heirloom Cafe and Fresh Market,Athens,,"815 N Chase St 
Athens, GA 30601, US",Restaurant, ,Bar Packages
764,The Robinson Room,Orlando,Central Business District,"63 E Pine St 
Orlando, FL 32801, US",, , 
765,Terrazas at Hyde Resort Hollywood,Hollywood,South Central Beach,"4111 S Ocean Drive, 9th floor 
Hollywood, FL 33019, US","Restaurant, Cocktail Lounge", ,Patio
766,Ruth's Chris Steak House - Cary,Cary,,"2010 Renaissance Park Place 
Cary, NC 27513, US",Restaurant, , 
767,D's Keys Dueling Pianos and Sing Along,Boston,,"391 D Street 
Boston, MA 02210, US",, , 
768,LIQR Box Chicago,Chicago,,"873 North Orleans 
Chicago, IL 60654, US",, , 
769,Mon Ami Gabi in Chicago,Chicago,Lincoln Park,"2300 N. Lincoln Park West  
Chicago, IL 60614, US",Restaurant, , 
770,The Crown & Crow,Washington,Logan Circle,"1317 14th Street Northwest 
Washington, DC 20005, US","Event Space, Bar, Cocktail Lounge, Entertainment",Seated: 100, 
771,Canucks Sports & Entertainment,Vancouver,,"800 Griffiths Way 
Vancouver, BC V6B 6G1, CA","Restaurant, Event Space, Other, Conference Center, Cocktail Lounge, Entertainment, Stadium, Unique", , 
772,Twin Pine Casino & Hotel,Middletown,,"22223 S State Hwy 29 
Middletown, CA 95461, US","Restaurant, Hotel, Cocktail Lounge, Entertainment, Unique",Seated: 10, 
773,Carmine's Rosemont,Rosemont,,"9850 Berwyn Ave. 
Rosemont, IL 60018, US",Restaurant,Seated: 15,Patio
774,"56th Street Dining Club, Inc.","New York, Manhattan","Midtown, Steinway, Red Hook, Manhattan","432 Park Avenue 
New York, NY 10022, US",, , 
775,Colbert Hills,Manhattan,,"5200 Colbert Hills Drive 
Manhattan, KS 66503, US","Restaurant, Golf Course", ,Full Bar
776,The Barn at Rocky Fork Creek,Gahanna,,"1370 E. Johnstown Road 
Gahanna, OH 43230, US",Restaurant, , 
777,Rosina Cocktail Lounge,Las Vegas,,"3355 Las Vegas Boulevard South 
Las Vegas, NV 89109, US",Cocktail Lounge,Minimum Guests: 15, 
778,Big Deal Casino,"New York, Manhattan","Gramercy, Steinway, Red Hook, Manhattan, NoMad, Flatiron District","1 East 28th St., 6th Floor 
New York, NY 10016, US",Entertainment, ,Handicap Accessible
779,Rodizio Grill - Trolley Square in Salt Lake City,"Salt Lake City, Salt Lake City",Central City,"600 S 700 E 
 Salt Lake City, UT 84102, US","Restaurant, Event Space, Entertainment", ,A/V Equipment
780,VR Life Arcade,Pontiac,Outside Catering Allowed,"320 N Telegraph Road 
Pontiac, MI 48341, US",,Seated: 30,Game Room
781,Castaway Portland,"Milwaukie, Portland","Southwest Hills, Linnton, Historic Milwaukie, Forest Park, Northwest","1900 NW 18th Ave. 
Portland, IN 97209, US",, ,Great Views
782,The Nonantum Resort,Kennebunkport,,"95 Ocean Avenue 
Kennebunkport, ME 04046, US","Hotel, Inn", ,Hotel Parking
783,Gianni's Ristorante Italiano,,,"E. Irausquin Blvd 348 
,  00000, ","Restaurant, Event Space, Cocktail Lounge", ,Flexible Floor Plan
784,Rock Bottom Restaurant & Brewery - Bolingbrook,Bolingbrook,,"639 E. Boughton Road #100 
Bolingbrook, IL 60440, US",Restaurant,Standing: 350, 
785,Smith & Wollensky,"New York, Manhattan","Midtown, Steinway, Red Hook, Manhattan, Turtle Bay","797 3rd Avenue 
New York, NY 10022, US",Restaurant, , 
786,The Little Art Bus,"Fort Worth, Forth Worth",Arlington Heights,"5128 Birchman Ave 
Forth Worth, TX 76107, US","Entertainment, Unique", , 
787,Pasta Garage Catering,Lexington,"Southeastern Hills, Meadowthorpe, Fairway-Liberty Heights, Idle Hour","972 Delaware Avenue 
Lexington, KY 40505, US","Restaurant, Catering", , 
788,The Belle Manor,Burleson,,"9001 County Road 528 
Burleson, TX 76028, US",, , 
789,Rodizio Grill - Fort Lauderdale,"1817 Pointe Blvd. Building J 
Dania Beach, FL 33004, US",Dania Beach,,"Restaurant, Event Space, Meeting Space, Conference Center, Wedding Venue, Catering, Unique",Seated: 314,A/V Equipment
790,Event Junkie Venue Norfolk,Norfolk,Idlewood/Sandy Heights,"3308 Croft Street 
Norfolk, VA 23513, US",Event Space,Standing: 80,Flexible Floor Plan
791,Ruth's Chris Steak House Fort Wayne,Fort Wayne,West Central,"224 West Wayne Street 
Fort Wayne, IN 46802, US",,Seated: 90,A/V Equipment
792,Tuscan Kitchen Seaport Boston,Boston,South Boston,"64 Seaport Blvd. 
Boston, MA 02210, US","Restaurant, Event Space, Cocktail Lounge", ,A/V Equipment
793,Barrett's Olde Scotland Links,Bridgewater,,"695 Pine Street 
Bridgewater, MA 02324, US","Restaurant, Golf Course", ,A/V Equipment
794,Church Ranch Event Center,Westminster,,"10200 Wadsworth Blvd 
Westminster, CO 80021, US","Event Space, Other, Wedding Venue, Unique",Standing: 3000,A/V Equipment
795,Fort Mason Center,San Francisco,Marina,"2 Marina Blvd, San Francisco, CA 94123, USA 
San Francisco, CA , US",,Seated: 5, 
796,Porter House Bar and Grill,"New York, Manhattan","Steinway, Upper West Side, Manhattan","10 Columbus Circle 
New York, NY 10019, US",, , 
797,Loch Bar - Boca Raton,Boca Raton,Downtown,"Mizner Park, 346 Plaza Real 
Boca Raton, FL 33432, US",Restaurant, , 
798,Hospitality Collaborative,Los Angeles,"Highland Park, South, South East","6441 N. Figueroa Street 
Los Angeles, CA 90042, US","Other, Wedding Venue, Cocktail Lounge, Entertainment, Unique",Standing: 400, 
799,Recovery Sports Grill - Troy,Troy,In-House Catering,"235 Hoosick Street, Troy NY 12180 
Troy, NY 12180, US",,Seated: 48, 
800,"Holiday Inn Hotel & Suites, Sioux Falls Airport",,,"2040 West Russell Street 
,  57104, ","Restaurant, Event Space, Other, Hotel, Wedding Venue, Catering, Golf Course",Standing: 300, 
801,"Holiday Inn Hotel & Suites, Sioux Falls Airport",,,"2040 West Russell Street 
,  57104, ","Restaurant, Event Space, Other, Hotel, Wedding Venue, Catering, Golf Course",Standing: 300, 
802,Sports and Social Steel City,Greensburg,,"5260 U.S. 30 
Greensburg, PA 15601, US","Restaurant, Bar, Arcade, Bowling, Entertainment", , 
803,Parlor KC,Kansas City,,"1707 Locust St 
Kansas City, MO 64108, US",, , 
804,Watch Hill Catering,Westerly,,"155 Atlantic Ave 
Westerly, RI 02891, US","Wedding Venue, Catering", ,Beachfront
805,Giancarlo's Sicilian Steakhouse & Pizzeria,Buffalo,,"5110  Main Street 
Buffalo, NY 14221, US",,Seated: 200, 
806,Topgolf Charlotte University,Charlotte,Fourth Ward,"9110 Driver's way 
Charlotte, NC , US","Event Space, Other, Unique",Seated: 1100, 
807,Brio Italian Grille Marlton,Marlton,,"500 Route 73 South 
Marlton, NJ 08053, US",Restaurant, , 
808,Carlyle Grill,Ann Arbor,,"3660 Jackson Rd 
Ann Arbor, MI 48103, US","Restaurant, Unique", , 
809,The Catering Outfit,Charlottesville,Belmont,"221 Carlton Road Suite 8 
Charlottesville, VA 22902, US",, , 
810,Clintons Bar & Grille,Clinton,In-House Catering,"27 High Street 
Clinton, MA 1510, US",,Seated: 65,Outdoor Space
811,The Fort Restaurant,Morrison,,"19192 CO-8 
Morrison, CO 80465, US","Restaurant, Event Space, Museum, Wedding Venue, Unique",Seated: 350,Bar Packages
812,The Art of Good Eating,Lisle,,"2004 Ogden Ave 
Lisle, IL 60532, US",Restaurant, , 
813,Carmine’s AC,Atlantic City,,"2801 Pacific Ave 
Atlantic City, NJ 08401 , US","Restaurant, Catering", ,Street Parking
814,Bottled Blonde Chicago,Chicago,River North,"504  North Wells Street 
Chicago, IL 60654, US",,Seated: 350,A/V Equipment
815,7th Street Truck Park,"St Paul, Saint Paul",West 7th,"214  7th Street West 
Saint Paul, MN 55102, US",,Seated: 300,A/V Equipment
816,Brio Italian Grille Polaris,Columbus,"Far North, Polaris","1500 Polaris Pkwy 
Columbus, OH 43240, US",Restaurant, , 
817,Le Cavalier,Wilmington,,"42 West 11th Street 
Wilmington, DE 19801, US",Restaurant, ,A/V Equipment
818,IDK? CAFE + Catering,Rogers,,"1 Cass Hough Dr 
Rogers, AR 72758, US","Restaurant, Meeting Space, Cafe, Food Truck, Catering, Unique", , 
819,"Holiday Inn Hotel & Suites, Sioux Falls Airport",,,"2040 West Russell Street 
,  57104, ",,Standing: 300, 
820,"Holiday Inn Hotel & Suites, Sioux Falls Airport",,,"2040 West Russell Street 
,  57104, ","Restaurant, Event Space, Other, Hotel, Wedding Venue, Catering, Golf Course",Standing: 300, 
821,The 13th Step,"New York, Manhattan","East Village, Steinway, Red Hook, Manhattan"," 149 2nd Avenue 
New York, NY 10003, US",Restaurant, ,A/V Equipment
822,Smashing Grapes Kitchen and Wine Bar - Annapolis,Annapolis,,"177 Jennifer Rd 
Annapolis, MD 21401, US",Restaurant, , 
823,BentoLiving Chestnut Hill,"Nashville, Chattanooga, Cookeville",,"321 Hart Street 
Nashville, TN 37210, US","Event Space, Hotel, Unique", , 
824,Lincoln Tavern & Restaurant,South Boston,,"425 W Broadway 
South Boston, MA 02127, US","Restaurant, Catering", ,Full Bar
825,Ruth's Chris Steak House South Bend,Granger,In-House Catering,"902 East University Drive 
Granger, IN 46530, US",,Seated: 185,A/V Equipment
826,Princess Royale Oceanfront Resort & Conference Center,Ocean City,,"Oceanfront on 91st Street 
Ocean City, MD 21842, US",Resort, , 
827,Stadium View Sports Bar & Banquet Hall,Green Bay,,"1963 Holmgren Way  
Green Bay, WI 54304, US",Event Space, , 
828,Newport Seafood Grill,Salem,Salem,"1717 Freeway Court 
Salem, OR 97303, US",,Seated: 247,Handicap Accessible
829,Brio Italian Grille Frontenac,St. Louis,,"1601 South Lindbergh Blvd 
St. Louis, MO 63131, US",Restaurant, , 
830,RollHouse - Wickliffe,Wickliffe,,"28801 Euclid Ave 
Wickliffe, OH 44092, US",Bowling, , 
831,Lure Fishbar Chicago,,,"616 N. Rush St. 
,  60611, ",, , 
832,Carmine's Atlantic City,Atlantic City,,"2801 Pacific Ave. 
Atlantic City, NJ 08401, US",, , 
833,Poggio at The Casa Madrona Hotel,Sausalito,,"777 Bridgeway 
Sausalito, CA 94965, US",, , 
834,Spare Time Portland,Portland,Riverton,"867 Riverside Street 
Portland, ME 04103, US","Bowling, Entertainment", , 
835,The Historic Martin Mansion,Norfolk,Ghent,"524 Fairfax Avenue 
Norfolk, VA 23507, US",Unique, , 
836,Le Pain Quotidien - Chicago,Chicago,"West Loop, West Loop Gate","West Loop 135 N Clinton 
Chicago, IL 60661, US",Restaurant, , 
837,Max's Restaurant at the Holiday Inn,Auburn,In-House Catering,"110 Grass Valley Hwy. 
Auburn, CA 95603, US",,Seated: 140,A/V Equipment
838,CATCH LA,"Beverly Hills, West Hollywood",West Los Angeles,"8715 Melrose Avenue  
West Hollywood, CA 90069, US",, , 
839,Beeline,Columbus,"Northeast, Easton","3989 Merchants Row 
Columbus, OH 43219, US","Restaurant, Entertainment, Unique", ,Full Bar
840,Nacho Daddy Summerlin,Las Vegas,The Lakes,"9560 W. Sahara Ave  
Las Vegas, NV 89117, US","Restaurant, Event Space, Other, Catering",Seated: 10,Handicap Accessible
841,Astoria World Manor,Queens,"Manhattan, Brooklyn, Queens, Bronx, Astoria","2522 Astoria Boulevard 
Queens, NY 11102, US","Event Space, Banquet Hall, Meeting Space, Conference Center, Wedding Venue, Entertainment", , 
842,Ink N Ivy Charlotte,Charlotte,Ballantyne East,"222 South Church Street 
Charlotte, NC 28202, US",,Seated: 1, 
843,The Overlook at The Port Workspaces,Oakland,Downtown,"344  20th Street 
Ste 310
Oakland, CA 94612, US",,Seated: 200,Rooftop
844,Scarlet Oak Tavern,Hingham,,"1217 Main Street 
Hingham, MA 02043, US",, , 
845,Fava Ristorante Italiano,Glen Mills,,"1102 Baltimore Pike 
Suite 101
Glen Mills, PA 19342, US",, , 
846,Red Phone Booth - Nashville,Nashville,,"136 Rosa L Parks Boulevard 
Nashville, TN 37203, US",, , 
847,Connors Steak & Seafood,Fort Myers,,"10076 Gulf Center Dr 
Fort Myers, FL 33913, US","Restaurant, Event Space",Standing: 45,A/V Equipment
848,BRAVO! Italian Kitchen Robinson,Pittsburgh,,"211 Summit Park Drive 
Pittsburgh, PA 15275, US",Restaurant, , 
849,Vivo Beach Club,Carolina,,"7000 Carr. 187 RR2 
Carolina, PR 00979, US","Restaurant, Event Space, Night Club", , 
850,Pour Taproom Beltline,Atlanta,Old Fourth Ward,"661 Auburn Ave. NE Suite 230 
Atlanta, GA 30312, US","Restaurant, Other", ,A/V Equipment
851,Caviar & Bananas - Charleston,Charleston,,"51 George Street 
Charleston, SC 29401, US","Cafe, Catering", ,Handicap Accessible
852,Nick & Nora's Parramatta,Parramatta,,"L26/45 Macquarie Street 
Parramatta, NSW 2150, AU","Restaurant, Cocktail Lounge", ,A/V Equipment
853,Brooklyn Party Hall,"New York, Brooklyn","Bensonhurst, Bay Ridge, Boerum Hill, Cobble Hill, Coney Island, Sunset Park, Borough Park, Flatbush, Park Slope, Williamsburg, Canarsie, Red Hook, Dyker Heights, Chinatown, Brownsville, Bushwick, Greenpoint, Brooklyn, Bergen Beach, East New York, Clinton Hill, Marine Park, Gerritsen Beach, Ocean Parkway, Vinegar Hill, Bedford Stuyvesant, Fort Greene, Brooklyn Heights, Sheepshead Bay, Gravesend, Midwood, Mill Basin, Flatlands, Prospect Park, Kensington, Crown Heights, Prospect Heights","81  Seigel Street 
Brooklyn, NY 11206, US","Event Space, Banquet Hall, Wedding Venue",Seated: 120, 
854,Sportsman’s Park,"Phoenix, Scottsdale, Glendale",In-House Catering,"9600 W Sportsman's Park 
Glendale, AZ , US","Event Space, Unique",Seated: 10000, 
855,The Kitchen | Chicago,Chicago,River North,"316 N Clark St 
Chicago, IL 60654, US",Restaurant, , 
856,"Holiday Inn Hotel & Suites, Sioux Falls Airport",,,"2040 West Russell Street 
,  57104, ","Restaurant, Event Space, Other, Hotel, Wedding Venue, Catering, Golf Course",Standing: 300, 
857,Rock & Brews Corona,Corona,,"3550 Grand Oaks 
Corona, CA 92881, US",,Seated: 80,Outdoor Space
858,Il Fornaio Santa Clara,Santa Clara,In-House Catering,"2752 Augustine Drive, Suite 120 
Suite 120
Santa Clara, CA 95054, US",,Seated: 55, 
859,Bobby McKey's Dueling Piano Bar,Oxon Hill,In-House Catering,"172  Fleet Street 
Oxon Hill, MD 20745, US",,Seated: 250,A/V Equipment
860,Red Phone Booth - Atlanta,Atlanta,,"17 Andrew Young International Boulevard Northeast 
Atlanta, GA 30303, US",, , 
861, , , , , , , 
862,The Little Beet Table - Chicago,Chicago,River North,"845 N. State Street 
Suite 101
Chicago, IL 60610, US",, ,Handicap Accessible
863,Prime Rib + Chocolate Cake,Portland,"Lloyd, Southwest Hills, Linnton, Historic Milwaukie, Forest Park","1200  Northeast Broadway Street 
Portland, OR 97232, US",,Seated: 250, 
864,Piero's Italian Cuisine,Las Vegas,,"355 Convention Center Drive 
Las Vegas, NV 89109, US",, , 
865,Havana 1957 South Beach,Miami Beach,Flamingo Lummus,"940 Ocean Drive 
Miami Beach, FL 33139, US","Restaurant, Event Space, Conference Center, Wedding Venue, Cocktail Lounge, Entertainment", ,A/V Equipment
866,Downtown Sporting Club,Nashville,"Eastwood, Crieve Hall, Bordeaux, West Meade, Woodbine, Charlotte Park, Rosebank","411 Broadway   
Nashville, TN 37203, US","Restaurant, Event Space, Other, Hotel, Arcade, Cocktail Lounge, Entertainment, Unique", ,A/V Equipment
867,Lucky 7 Casino & Hotel,Smith River,In-House Catering,"350 North Indian Road 
Smith River, CA 95567, US",, ,Pool
868,Durk's Bar-B-Q Catering,Providence,College Hill,"33 Aborn Street 
Providence, RI 02903, US",, , 
869,Lucky 7 Casino & Hotel,Smith River,In-House Catering,"350 North Indian Road 
Smith River, CA 95567, US",, ,Pool
870,The Church Nightclub,Denver,Capitol Hill,"1160 Lincoln St 
Denver, CO 80203, US",Night Club,Standing: 1424, 
871,Del Frisco's Double Eagle Steakhouse Fort Worth,Fort Worth,"Downtown, Eastside","812 Main St, Fort Worth, TX 76102 
Fort Worth, TX 76102, US",,Seated: 80, 
872,Fiorino Ristorante,Summit,,"38 Maple Street 
Summit, NJ 07901, US",Restaurant, , 
873,Sullivan's Steakhouse Charlotte,Charlotte,Dilworth,"1928 South Blvd., Suite 200 
Charlotte, NC 28203, US",Restaurant, ,A/V Equipment
874,Oyamel Cocina Mexicana,Washington,Penn Quarter,"401 7th Street Northwest 
Washington, DC 20004, US",Restaurant, ,Near Public Transit
875,Matt the Miller's Tavern - Carmel,Carmel,,"11 W City Center Drive 
Carmel, IN 46032, US",,Seated: 50, 
876,Topgolf The Colony,"Dallas, Frisco, The Colony",,"3760  Blair Oaks Drive 
The Colony, TX 75056, US","Restaurant, Event Space, Bar, Meeting Space, Cocktail Lounge, Entertainment, Golf Course, Unique",Seated: 1100, 
877,AdventHealth Nicholson Center,Celebration,Celebration Place,"Nicholson Center | 404 Celebration Place | 
Celebration, FL 34747 |, US",Other, , 
878,Realine Group,Salt Lake City,Downtown,"63 W 100 S 
Salt Lake City, UT 84101 , US","Restaurant, Event Space, Other, Cocktail Lounge, Entertainment", , 
879,Bub City - Chicago,Chicago,"River North, Near North","435 N. Clark Street 
Chicago, IL 60654, US",Restaurant, , 
880,The Publican Private Dining,Chicago,West Loop,"825 W Fulton Market, Chicago, IL 60607 
Chicago, IL 60607, US",,Seated: 130,A/V Equipment
881,The Corner Pub,"Atlanta, Decatur",,"627  East College Avenue 
{}
Decatur, GA 30030, US",,Seated: 39,Outdoor Space
882,The Curragh Irish Pub,Chicago,Edison Park,"6705 N Northwest Hwy 
Chicago, IL 60631, US","Restaurant, Event Space", ,A/V Equipment
883,Hart Ranch Weddings,Bozeman,,"73800 Gallatin Rd 
Bozeman, MT 59730, US",,Seated: 300,Outdoor Space
884,Mulino's at Lake Isle,Eastchester,,"660 White Plains Road 
Eastchester, NY 10709, US","Event Space, Wedding Venue, Catering, Entertainment", ,Ceremony Site
885,Fogo de Chão São Paulo - Vila Olimpia,,,"Av. dos Bandeirantes 
,  , ",Restaurant, , 
886,Fogo de Chão São Paulo - Vila Olimpia,,,"Av. dos Bandeirantes 
,  , ",Restaurant, , 
887,City Winery Chicago at the RiverWalk,Chicago,"Loop, The Loop","11 Chicago Riverwalk 
Chicago, IL 60601, US",Restaurant, , 
888,El Hefe Chicago,Chicago,"River North, Near North","15  West Hubbard Street 
Chicago, IL 60654, US",,Seated: 100,Outdoor Space
889,Casa Mariano,Doral,,"8200 Northwest 27th Street 
Doral, FL 33122, US",Restaurant, ,Flexible Floor Plan
890,Francesca's Fortunato - Frankfort,Frankfort,,"40 Kansas Street 
Frankfort, IL 60423, US",Restaurant, , 
891,Rosa Mexicano - Boston,Boston,South Boston,"155 Seaport Blvd. 
Boston, MA 02210, US",Restaurant,Standing: 300, 
892,Brooklyn Party Space,"New York, Brooklyn","Coney Island, Red Hook, Fort Green, Brooklyn","833 Dean St, Brooklyn, NY 11238, USA 
New York, NY , US",,Seated: 85,A/V Equipment
893,Monarch Venues,Ogden,East Central,"455 25th Street 
Ogden, UT 84401, US","Event Space, Gallery, Wedding Venue, Unique", ,A/V Equipment
894,The Arvada Center for the Arts and Humanities,Arvada,Arvada Center,"6901 Wadsworth Blvd 
Arvada, CO 80003, US",, , 
895,The Liberty NYC,"New York, Manhattan","Steinway, Red Hook, Garment District, Manhattan","29 W 35th St 
New York, NY 10001, US",,Seated: 45, 
896,Ruth's Chris Steak House Portland,"Portland, Milwaukie","Downtown, Southwest Hills, Linnton, Historic Milwaukie, Forest Park","860 SW Broadway 
Portland, OR 97205, US",,Seated: 75,A/V Equipment
897,Baja Cantina,Marina Del Rey,,"311 Washington Boulevard 
Marina Del Rey, CA 90292, US","Restaurant, Bar, Catering, Cocktail Lounge, Entertainment", ,A/V Equipment
898,Fiorino Ristorante,Summit,In-House Catering,"38  Maple Street 
Summit, NJ 07901, US",,Seated: 85, 
899,Olive & June,Austin,,"3411 Glenview Ave 
Austin, TX 78703, US","Restaurant, Wedding Venue", , 
900,The Central Park Boathouse,New York,,,Unique,Seated: 300, 
901,Best Western Merry Manor Inn,South Portland,,"700 Main Street 
South Portland, ME 04106  , US","Restaurant, Event Space, Hotel, Conference Center", ,A/V Equipment
902,The Betsy South Beach,Miami Beach,Flamingo Lummus,"1440 Ocean Drive 
Miami Beach, FL 33139, US",Hotel,Seated: 10, 
903,Border Grill - Catering,Los Angeles,New Downtown,"445 South Figueroa Street 
Los Angeles, CA 90071, US",,Seated: 250,A/V Equipment
904,Smith & Lentz Brewing,Nashville,"Eastwood, Crieve Hall, Neelys Bend, Bordeaux, Woodbine, Hermitage Hills, Rosebank","903  Main Street 
Nashville, TN 37206, US",,Seated: 100,A/V Equipment
905,Grant Park Manor,"575  Boulevard Southeast 
Atlanta, GA 30312, US",Atlanta,,"Event Space, Unique",Seated: 200, 
906,Holiday Inn Express & Suites Morris,Morris,,"222 Gore Road 
Morris, IL 60450, US",Hotel, , 
907,The Annie Café & Bar,Houston,"Galleria-Uptown, Spring Branch, Greater Uptown","1800 Post Oak Blvd. 
Houston, TX 77056, US",Restaurant, ,Full Bar
908,Recovery Sports Grill - Troy,Troy,,"235 Hoosick Street 
Troy, NY 12180, US","Restaurant, Bar", , 
909,Parlay Sporting Club + Kitchen,Columbus,,"570 North High Street 
Columbus, OH 43215, US","Restaurant, Bar, Entertainment, Unique", , 
910,Parlor Room Events,Jacksonville,,"300 1/2 San Marco Ave 
Jacksonville, FL , US","Event Space, Wedding Venue", ,Flexible Floor Plan
911,4th Street Live!,Louisville,,"411 South 4th Street 
Louisville, KY 40202, US","Event Space, Bar", ,A/V Equipment
912,Ole Red Gatlinburg,Gatlinburg,,"511 Parkway 
Gatlinburg, TN 37738, US","Restaurant, Entertainment, Unique", , 
913,Pizzeria UNO - CHICAGO,Chicago,,"619 North Wabash Avenue 
Chicago, IL 60611, US",Restaurant, , 
914,Beach Park Event Center,"Seattle, Des Moines",Marina District,"22030  Cliff Avenue South 
Des Moines, WA 98198, US",,Seated: 360,A/V Equipment
915,Heim Barbecue Catering,Fort Worth,,"8620 Clifford St 
Fort Worth, TX 76108, US","Food Truck, Catering", , 
916,VIP Parties at ICEBAR Orlando,"8967 International Drive 
Orlando, FL 32819, US",Orlando,,"Event Space, Other, Catering, Cocktail Lounge, Entertainment, Night Club, Unique", ,A/V Equipment
917,Smiling Chef,Rockville Centre,Douglastown-Little Neck,"222 Sunrise Highway 
Rockville Centre, NY 11570, US","Restaurant, Catering", , 
918,Smash Park,West Des Moines,,"6625 Coachlight Drive 
West Des Moines, IA 50266, US","Restaurant, Event Space, Arcade, Entertainment, Unique",Standing: 700,A/V Equipment
919,The City Kitch - Greensboro,Greensboro,,"601 Milner Drive 
Greensboro, NC 27410, US","Event Space, Meeting Space, Catering, Food Hall", , 
920,Oyamel Cocina Mexicana,Washington,Downtown,"4017th Street NW 
Washington, DC 20004, US",,Seated: 190,A/V Equipment
921,Fogo de Chão São Paulo - Vila Olimpia,,,"Av. dos Bandeirantes 
,  , ",, , 
922,Brio Italian Grille Victoria Gardens,Rancho Cucamonga,,"12370 S. Main St 
Rancho Cucamonga, CA 91739, US",Restaurant, , 
923,Bounce Sporting Club,"New York, Manhattan","Steinway, Red Hook, Chelsea, Manhattan","55 W 21st Street 
Manhattan, NY 10010, US",,Seated: 150,A/V Equipment
924,Loretta's Last Call,Boston,"Fenway-Kenmore, Kenmore","1 Lansdowne Street  
Boston, MA 02215, US",Restaurant, , 
925,Start Bar,"Saint Louis, St. Louis",Downtown,"1000 Spruce Street 
St. Louis, MO 63102, US",,Seated: 300,A/V Equipment
926,The Farm at Eastman's Corner,Kensington,,"267 South Road 
Kensington, NH 03833, US",, , 
927,Fish Market,Alexandria,Old Town,"105 King Street 
Alexandria, VA 22134, US",Restaurant, , 
928,Fogo de Chão São Paulo - Vila Olimpia,,,"Av. dos Bandeirantes 
,  , ",Restaurant, , 
